symbol,model_name,prediction_col,forecast_col,model_role,min_weight,max_weight,role_multiplier,recent_mape,directional_accuracy,observation_count,naive_recent_mape,skill_vs_naive_multiplier,direction_multiplier,price_accuracy_score,raw_score,final_weight,final_weight_pct
SYK,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.270076,0.550562,90,1.259821603791717,1.1,1.0303370786516854,0.6578617798397914,0.8350734816,0.309355031216345,30.9355
SYY,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.295523,0.011236,90,1.295522763282007,0.85,0.7067415730337078,0.6470302630007482,0.3303871018,0.16214879561758347,16.2149
SYY,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,6.235556,0.516854,90,1.295522763282007,0.75,1.0101123595505617,0.15418877792787988,0.1109704431,0.06766854539146856,6.7669
SYY,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.29831,0.47191,90,1.295522763282007,1.1,0.9831460674157303,0.6458653024440021,0.6635540291,0.2,20.0
SYY,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,7.270502,0.561798,90,1.295522763282007,0.75,1.0370786516853931,0.13296985090290234,0.0827401162,0.028085855447226315,2.8086
SYY,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.429608,0.505618,90,1.295522763282007,0.95,1.003370786516854,0.5953770624403494,0.5958904915,0.24227303240036452,24.2273
SYY,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.376389,0.483146,90,1.295522763282007,0.95,0.9898876404494381,0.6148590852112662,0.6475944592,0.2998237711433571,29.9824
T,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.259505,0.022472,90,1.2595048520342516,0.85,0.7134831460674157,0.662468887498024,0.3414971289,0.1528273642383365,15.2827
T,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,5.263856,0.438202,90,1.2595048520342516,0.75,0.9629213483146066,0.18136129020337433,0.1244286189,0.06746639673855863,6.7466
T,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.26442,0.483146,90,1.2595048520342516,1.1,0.9898876404494381,0.6603189133054014,0.6830553999,0.2,20.0
T,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,6.15428,0.52809,90,1.2595048520342516,0.75,1.0168539325842696,0.1561455839075231,0.0952663506,0.028685417553883853,2.8685
